waveform,filename,peak_abs_nm,flagged
sine,sine_300Hz_300Hz_4_absolute.csv,261.49517074227333,False
sine,sine_300Hz_300Hz_5_absolute.csv,249.35672738231597,False
sine,sine_300Hz_300Hz_6_absolute.csv,249.44245154662713,False
sine,sine_300Hz_300Hz_7_absolute.csv,246.77720248790598,False
sine,sine_300Hz_300Hz_8_absolute.csv,220.07646481579923,False
sine,sine_300Hz_300Hz_9_absolute.csv,266.94252490997314,False
sine,sine_300Hz_absolute.csv,256.56957761033345,False
sine,sine_400Hz_400Hz_10_absolute.csv,187.71250480413437,False
sine,sine_400Hz_400Hz_11_absolute.csv,165.68651926517487,False
sine,sine_400Hz_400Hz_12_absolute.csv,183.48520887276328,False
sine,sine_400Hz_400Hz_13_absolute.csv,205.55518877506256,False
sine,sine_400Hz_400Hz_1_absolute.csv,161.17496633529663,False
sine,sine_400Hz_400Hz_2_absolute.csv,182.1433683040675,False
sine,sine_400Hz_400Hz_3_absolute.csv,212.1990869114598,False
sine,sine_400Hz_400Hz_4_absolute.csv,193.6985490322113,False
sine,sine_400Hz_400Hz_5_absolute.csv,165.51197717842342,False
sine,sine_400Hz_400Hz_6_absolute.csv,176.21137019277785,False
sine,sine_400Hz_400Hz_7_absolute.csv,176.1375733859799,False
sine,sine_400Hz_400Hz_8_absolute.csv,135.23864688427318,False
sine,sine_400Hz_400Hz_9_absolute.csv,198.62614500522614,False
sine,sine_400Hz_absolute.csv,175.81795748394688,False
square,Square-100Hz-10_absolute.csv,527.0834522247314,False
square,Square-100Hz-1_absolute.csv,528.4077205657959,False
square,Square-100Hz-2_absolute.csv,500.51850509643555,False
square,Square-100Hz-3_absolute.csv,521.603494644165,False
square,Square-100Hz-4_absolute.csv,518.8078002929688,False
square,Square-100Hz-5_absolute.csv,522.9835109710693,False
square,Square-100Hz-6_absolute.csv,535.3777122497559,False
square,Square-100Hz-7_absolute.csv,518.01682472229,False
square,Square-100Hz-8_absolute.csv,438.4714813232422,False
square,Square-100Hz-9_absolute.csv,515.9633369445801,False
square,Square-1Hz-10_absolute.csv,329.6065139770508,False
square,Square-1Hz-1_absolute.csv,338.1253261566162,False
square,Square-1Hz-2_absolute.csv,366.4418067932129,False
square,Square-1Hz-3_absolute.csv,365.7279644012451,False
square,Square-1Hz-4_absolute.csv,361.6585102081299,False
square,Square-1Hz-5_absolute.csv,372.5043640136719,False
square,Square-1Hz-6_absolute.csv,398.8608856201172,False
square,Square-1Hz-7_absolute.csv,417.8450393676758,False
square,Square-1Hz-8_absolute.csv,367.2483711242676,False
square,Square-1Hz-9_absolute.csv,332.6681442260742,False
square,Square-200Hz-10_absolute.csv,238.1108341217041,False
square,Square-200Hz-1_absolute.csv,268.5534915924072,False
square,Square-200Hz-2_absolute.csv,198.03757858276367,False
square,Square-200Hz-3_absolute.csv,230.99333572387695,False
square,Square-200Hz-4_absolute.csv,219.06474494934082,False
square,Square-200Hz-5_absolute.csv,246.5339183807373,False
square,Square-200Hz-6_absolute.csv,236.9541778564453,False
square,Square-200Hz-7_absolute.csv,175.31652069091797,False
square,Square-200Hz-8_absolute.csv,219.37727546691895,False
square,Square-200Hz-9_absolute.csv,293.05756759643555,False
square,Square-300Hz-10_absolute.csv,492.4685802459717,False
square,Square-300Hz-1_absolute.csv,549.5553913116455,False
square,Square-300Hz-2_absolute.csv,490.236328125,False
square,Square-300Hz-3_absolute.csv,535.5941581726074,False
square,Square-300Hz-4_absolute.csv,498.4767150878906,False
square,Square-300Hz-5_absolute.csv,533.7066917419434,False
square,Square-300Hz-6_absolute.csv,480.3905944824219,False
square,Square-300Hz-7_absolute.csv,488.2363471984863,False
square,Square-300Hz-8_absolute.csv,485.168981552124,False
square,Square-300Hz-9_absolute.csv,477.5364055633545,False
square,Square-400Hz-10_absolute.csv,122.06120109558105,False
square,Square-400Hz-1_absolute.csv,141.80178451538086,False
square,Square-400Hz-2_absolute.csv,79.52370262145996,False
square,Square-400Hz-3_absolute.csv,80.26847839355469,False
square,Square-400Hz-4_absolute.csv,164.48302459716797,False
square,Square-400Hz-5_absolute.csv,144.77917671203613,False
square,Square-400Hz-6_absolute.csv,83.11191177368164,False
square,Square-400Hz-7_absolute.csv,119.0606460571289,False
square,Square-400Hz-8_absolute.csv,138.32146644592285,False
square,Square-400Hz-9_absolute.csv,145.8908519744873,False
square,square_100Hz_100Hz_10_absolute.csv,199.4439915418625,False
square,square_100Hz_100Hz_11_absolute.csv,248.64972352981567,False
square,square_100Hz_100Hz_12_absolute.csv,328.3863288141804,False
square,square_100Hz_100Hz_13_absolute.csv,254.7697468996048,False
square,square_100Hz_100Hz_1_absolute.csv,290.93351650238037,False
square,square_100Hz_100Hz_2_absolute.csv,564.3458143771752,False
square,square_100Hz_100Hz_3_absolute.csv,333.2295425956823,False
square,square_100Hz_100Hz_4_absolute.csv,241.93026585668122,False
square,square_100Hz_100Hz_5_absolute.csv,250.03091834595216,False
square,square_100Hz_100Hz_6_absolute.csv,253.08383906554218,False
square,square_100Hz_100Hz_7_absolute.csv,265.4348266122536,False
square,square_100Hz_100Hz_8_absolute.csv,283.7202152686315,False
square,square_100Hz_100Hz_9_absolute.csv,256.65172696113586,False
square,square_100Hz_absolute.csv,278.88417388235257,False
square,square_1Hz_1Hz_10_absolute.csv,245.03152573108673,False
square,square_1Hz_1Hz_11_absolute.csv,306.0451202392578,False
square,square_1Hz_1Hz_12_absolute.csv,248.86392940057092,False
square,square_1Hz_1Hz_13_absolute.csv,297.61425042152405,False
square,square_1Hz_1Hz_1_absolute.csv,278.91564667224884,False
square,square_1Hz_1Hz_2_absolute.csv,256.2854623569309,False
square,square_1Hz_1Hz_3_absolute.csv,297.23921154887626,False
square,square_1Hz_1Hz_4_absolute.csv,247.6642820458801,False
square,square_1Hz_1Hz_5_absolute.csv,245.62080077009523,False
square,square_1Hz_1Hz_6_absolute.csv,251.07695416341767,False
square,square_1Hz_1Hz_7_absolute.csv,262.8280353181293,False
square,square_1Hz_1Hz_8_absolute.csv,241.8762360690015,False
square,square_1Hz_1Hz_9_absolute.csv,294.5165982246399,False
square,square_1Hz_absolute.csv,274.9030819023642,False
square,square_200Hz_200Hz_10_absolute.csv,273.7707466483116,False
square,square_200Hz_200Hz_11_absolute.csv,259.8098120689392,False
square,square_200Hz_200Hz_12_absolute.csv,262.07078459241563,False
square,square_200Hz_200Hz_13_absolute.csv,252.26954114437103,False
square,square_200Hz_200Hz_1_absolute.csv,258.39167535305023,False
square,square_200Hz_200Hz_2_absolute.csv,206.96130232558153,False
square,square_200Hz_200Hz_3_absolute.csv,240.57763313763178,False
square,square_200Hz_200Hz_4_absolute.csv,249.50641277494287,False
square,square_200Hz_200Hz_5_absolute.csv,218.49717689130011,False
square,square_200Hz_200Hz_6_absolute.csv,205.33611219340446,False
square,square_200Hz_200Hz_7_absolute.csv,266.7734521712158,False
square,square_200Hz_200Hz_8_absolute.csv,276.67993525991517,False
square,square_200Hz_200Hz_9_absolute.csv,249.34619176387787,False
square,square_200Hz_absolute.csv,211.15342656802795,False
square,square_300Hz_300Hz_10_absolute.csv,372.821080327034,False
square,square_300Hz_300Hz_11_absolute.csv,373.2269196510315,False
square,square_300Hz_300Hz_12_absolute.csv,406.86520860689654,False
square,square_300Hz_300Hz_13_absolute.csv,418.84431755542755,False
square,square_300Hz_300Hz_1_absolute.csv,411.5701118707657,False
square,square_300Hz_300Hz_2_absolute.csv,357.8599105008276,False
square,square_300Hz_300Hz_3_absolute.csv,332.06905618316915,False
square,square_300Hz_300Hz_4_absolute.csv,378.359301323253,False
square,square_300Hz_300Hz_5_absolute.csv,405.3957560446711,False
square,square_300Hz_300Hz_6_absolute.csv,401.66459757887014,False
square,square_300Hz_300Hz_7_absolute.csv,363.8912393818101,False
square,square_300Hz_300Hz_8_absolute.csv,362.12342058823515,False
square,square_300Hz_300Hz_9_absolute.csv,409.7852203845978,False
square,square_300Hz_absolute.csv,356.4520486403917,False
square,square_400Hz_400Hz_10_absolute.csv,218.9600167274475,False
square,square_400Hz_400Hz_11_absolute.csv,242.95721244812012,False
square,square_400Hz_400Hz_12_absolute.csv,225.35663849610148,False
square,square_400Hz_400Hz_13_absolute.csv,286.03006649017334,False
square,square_400Hz_400Hz_1_absolute.csv,296.1068961620331,False
square,square_400Hz_400Hz_2_absolute.csv,272.7998756613757,False
square,square_400Hz_400Hz_3_absolute.csv,255.05946437161757,False
square,square_400Hz_400Hz_4_absolute.csv,249.63904688887123,False
square,square_400Hz_400Hz_5_absolute.csv,248.20012014266968,False
square,square_400Hz_400Hz_6_absolute.csv,241.1717085743844,False
square,square_400Hz_400Hz_7_absolute.csv,267.256964028777,False
square,square_400Hz_400Hz_8_absolute.csv,205.05422826400252,False
square,square_400Hz_400Hz_9_absolute.csv,299.2635807991028,False
square,square_400Hz_absolute.csv,278.9566158107327,False
ramp,Ramp-10_absolute.csv,271.08436393737793,False
ramp,Ramp-11_absolute.csv,278.44527435302734,False
ramp,Ramp-12_absolute.csv,272.6776809692383,False
ramp,Ramp-13_absolute.csv,262.9095058441162,False
ramp,Ramp-14_absolute.csv,265.8177146911621,False
ramp,Ramp-15_absolute.csv,295.8220157623291,False
ramp,Ramp-1_absolute.csv,244.3141326904297,False
ramp,Ramp-2_absolute.csv,276.94775390625,False
ramp,Ramp-3_absolute.csv,254.7112274169922,False
ramp,Ramp-4_absolute.csv,279.81980895996094,False
ramp,Ramp-5_absolute.csv,238.93823432922363,False
ramp,Ramp-6_absolute.csv,245.47896766662598,False
ramp,Ramp-7_absolute.csv,315.1101131439209,False
ramp,Ramp-8_absolute.csv,261.1142158508301,False
ramp,Ramp-9_absolute.csv,242.36533546447754,False
ramp,Ramp-trail2_10_absolute.csv,290.11381340026855,False
ramp,Ramp-trail2_11_absolute.csv,304.15129470825195,False
ramp,Ramp-trail2_12_absolute.csv,242.02132415771484,False
ramp,Ramp-trail2_13_absolute.csv,302.0327491760254,False
ramp,Ramp-trail2_14_absolute.csv,302.5882682800293,False
ramp,Ramp-trail2_15_absolute.csv,253.51898765563965,False
ramp,Ramp-trail2_1_absolute.csv,302.53412437438965,False
ramp,Ramp-trail2_2_absolute.csv,286.9293270111084,False
ramp,Ramp-trail2_3_absolute.csv,291.35577392578125,False
ramp,Ramp-trail2_4_absolute.csv,285.0718364715576,False
ramp,Ramp-trail2_5_absolute.csv,291.11381340026855,False
ramp,Ramp-trail2_6_absolute.csv,249.30966567993164,False
ramp,Ramp-trail2_7_absolute.csv,309.01122665405273,False
ramp,Ramp-trail2_8_absolute.csv,295.3051452636719,False
ramp,Ramp-trail2_9_absolute.csv,284.5066623687744,False
ramp,ramp-100Hz-10_absolute.csv,291.6262798309326,False
ramp,ramp-100Hz-1_absolute.csv,288.14530754089355,False
ramp,ramp-100Hz-2_absolute.csv,291.9020290374756,False
ramp,ramp-100Hz-3_absolute.csv,289.6766872406006,False
ramp,ramp-100Hz-4_absolute.csv,279.506046295166,False
