filename,waveform,n_samples,dominant_freq_hz,dominant_amp_nm,harmonic_ratio_2,harmonic_ratio_3,harmonic_ratio_4,harmonic_ratio_5,odd_even_harmonic_ratio,thd_pct,spectral_entropy,spectral_centroid_hz,spectral_flatness,band_energy_ratio,num_spectral_peaks,rms_nm,peak_nm,crest_factor,skewness,kurtosis,zero_cross_rate,peak_density_hz,sine_residual_pct,sine_phase_lag_deg,q1_peak_nm,q1_mean_nm,q1_rms_nm,q1_sine_residual_pct,q2_peak_nm,q2_mean_nm,q2_rms_nm,q2_sine_residual_pct,q3_peak_nm,q3_mean_nm,q3_rms_nm,q3_sine_residual_pct,q4_peak_nm,q4_mean_nm,q4_rms_nm,q4_sine_residual_pct,amplitude_drift_nm,worst_quarter,fopdt_phase_lag_deg,fopdt_attenuation,v_drive_est_v,hysteresis_nm,half_cycle_asymmetry,square_duty_cycle,square_edge_sharpness,noise_kurtosis,noise_gaussianity_err,noise_autocorr_lag1,ramp_rise_linearity,ramp_fall_linearity,ramp_asymmetry,pulse_crest_factor,pulse_duty_cycle,pulse_ringing_ratio
noise-30_absolute.csv,noise,10428,2.1097,5.051787,0.315762,0.142568,0.306373,0.256184,0.444058,52.8702,9.8824,93.7024,0.725797,3.8233,481,33.118512,93.220863,2.8148,1.0756,3.7907,14.0967,6.1373,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,q1,0.194,0.999995,0.2453,,,,,3.7907,0.7907,0.944433,,,,,,
noise-31_absolute.csv,noise,6384,2.3496,6.74551,0.143594,0.288434,0.162747,0.337305,4.181436,49.4039,8.1886,63.8714,0.685144,6.8775,133,31.331081,85.147421,2.7177,-0.6422,5.8963,18.797,0.3133,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,q1,0.216,0.999993,0.2241,,,,,5.8963,2.8963,0.937527,,,,,,
noise-32_absolute.csv,noise,6938,1.8737,7.859732,0.966924,0.390418,0.367823,0.33139,0.245035,115.4332,8.9191,73.3996,0.690506,6.1766,372,72.488769,353.160341,4.8719,-2.5119,10.4064,33.439,15.9988,,,252.89,188.38,191.87,,94.64,22.82,69.99,,142.73,-94.04,101.61,,142.73,-117.16,122.87,,158.25,q1,0.172,0.999996,0.9294,,,,,10.4064,7.4064,0.975957,,,,,,
noise-33_absolute.csv,noise,10885,3.491,3.595475,0.580134,0.335376,0.352922,0.308033,0.449702,81.7601,8.9306,45.2446,0.642254,12.5244,334,22.335387,161.692545,7.2393,1.445,11.9869,7.1658,3.2154,,,1.22,-1.22,1.22,,77.91,3.65,19.36,,1.22,-1.22,1.22,,1.22,-1.22,1.22,,76.69,q2,0.32,0.999985,0.4255,,,,,11.9869,8.9869,0.93313,,,,,,
noise-34_absolute.csv,noise,9872,37.581,2.452552,0.368383,0.173961,0.454824,0.256194,0.279935,66.217,10.6132,105.0543,0.729957,1.936,661,30.336415,153.221622,5.0507,-3.0517,17.4587,4.7609,5.1661,,,59.04,-51.73,56.58,,59.04,11.56,27.12,,20.09,20.09,20.09,,20.09,20.09,20.09,,38.95,q1,3.446,0.998262,0.4039,,,,,17.4587,14.4587,0.935142,,,,,,
noise-35_absolute.csv,noise,9484,2.1088,2.812173,0.609415,0.513766,0.383791,0.25237,0.631688,91.9961,8.7828,44.4373,0.618492,11.161,199,35.642028,56.731672,1.5917,-0.9635,1.9282,10.4386,4.9557,,,56.6,-3.04,34.22,,56.6,-16.43,26.73,,56.6,-1.83,34.82,,56.6,21.3,44.73,,0.0,q1,0.194,0.999995,0.1493,,,,,1.9282,1.0718,0.974274,,,,,,
noise-36_absolute.csv,noise,12720,9.827,3.683858,0.164523,0.099378,0.1829,0.11471,0.380605,28.9059,9.0067,50.5061,0.668587,6.7186,273,27.176075,68.312876,2.5137,2.1159,5.477,15.3302,6.8396,,,44.74,44.74,44.74,,44.74,24.04,42.27,,34.39,-34.39,34.39,,34.39,-34.39,34.39,,10.35,q1,0.902,0.999881,0.1798,,,,,5.477,2.477,0.935006,,,,,,
noise-37_absolute.csv,noise,9445,1.9058,3.342025,0.539728,0.330626,0.333132,0.282659,0.47034,76.9086,9.7289,80.7751,0.723512,4.2292,343,14.430434,80.229811,5.5598,2.0735,29.5705,7.8348,3.0704,,,77.91,-3.65,19.36,,1.22,1.22,1.22,,1.22,1.22,1.22,,1.22,1.22,1.22,,76.69,q1,0.175,0.999996,0.2111,,,,,29.5705,26.5705,0.818561,,,,,,
noise-38_absolute.csv,noise,13583,37.3261,2.12489,0.226445,0.129439,0.127485,0.111886,0.433479,31.1131,10.3101,76.651,0.681647,4.1916,784,49.941821,301.169836,6.0304,-3.6292,16.9991,6.8468,0.6626,,,15.22,-15.22,15.22,,15.22,-15.22,15.22,,15.22,-15.22,15.22,,63.91,45.65,56.53,,48.69,q4,3.423,0.998286,0.7939,,,,,16.9991,13.9991,0.987518,,,,,,
noise-39_absolute.csv,noise,11448,2.0964,6.280452,0.307792,0.119777,0.226009,0.105313,0.174449,41.3827,8.6708,47.4714,0.647319,9.9594,153,23.628067,71.293154,3.0173,-2.6859,8.214,7.5996,3.5814,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,q1,0.192,0.999995,0.1876,,,,,8.214,5.214,0.957372,,,,,,
